ShipmentID,Product_Category,Warehouse_Location,Stock_Level,Daily_Sales_Rate,Supplier_Lead_Time_Days,Holding_Cost_USD
SHP3000,Electrnics,BTM Layout,416,5,5,23.83
SHP3001,Electrnics,Whitefield,88,6,13,61.53
SHP3002,Electrnics,JP Nagar,117,38,10,34.93
SHP3003,Electrnics,Whitefield,336,22,4,92.92
SHP3004,Electrnics,Whitefield,382,18,8,62.49
SHP3005,Electrnics,BTM Layout,45,14,9,63.36
SHP3006,Electrnics,Whitefield,109,10,13,41.94
SHP3007,Electrnics,Whitefield,206,13,7,14.68
SHP3008,Electrnics,Electronic City,454,31,14,12.86
SHP3009,Electrnics,Electronic City,270,30,7,48.1
SHP3010,Electronics,JP Nagar,214,3,5,17.61
SHP3011,Apparel,Electronic City,567,30,4,64.62
SHP3012,Apparel,Electronic City,122,6,14,89.29
SHP3013,Gadgets,Electronic City,381,29,10,89.46
SHP3014,Apparel,Electronic City,555,8,1,69.31
SHP3015,Gadgets,BTM Layout,544,33,10,29.01
SHP3016,Electronics,Electronic City,88,17,10,87.67
SHP3017,Gadgets,BTM Layout,458,11,7,89.75
SHP3018,Gadgets,BTM Layout,518,13,1,27.7
SHP3019,Home Decor,Electronic City,391,11,1,76.37
SHP3020,Apparel,Whitefield,354,31,5,35.79
SHP3021,Electronics,BTM Layout,300,28,13,82.24
SHP3022,Gadgets,Whitefield,262,6,9,99.75
SHP3023,Electronics,Whitefield,85,16,6,12.7
SHP3024,Home Decor,Electronic City,272,4,3,90.76
SHP3025,Apparel,JP Nagar,423,35,13,66.04
SHP3026,Gadgets,Electronic City,239,26,3,97.6
SHP3027,Apparel,JP Nagar,315,12,7,51.85
SHP3028,Home Decor,JP Nagar,361,11,6,86.26
SHP3029,Home Decor,Electronic City,217,37,9,15.62
SHP3030,Electronics,Electronic City,578,25,6,40.18
SHP3031,Gadgets,JP Nagar,53,18,5,16.03
SHP3032,Electronics,Electronic City,131,19,10,97.78
SHP3033,Home Decor,JP Nagar,227,23,7,83.53
SHP3034,Apparel,Whitefield,283,38,1,86.73
SHP3035,Electronics,Electronic City,412,18,12,94.42
SHP3036,Electronics,Whitefield,509,26,7,17.66
SHP3037,Apparel,BTM Layout,298,6,3,44.7
SHP3038,Electronics,Whitefield,281,4,14,16.39
SHP3039,Apparel,Whitefield,442,29,9,28.97
SHP3040,Gadgets,JP Nagar,111,34,6,30.64
SHP3041,Apparel,Whitefield,424,17,9,52.22
SHP3042,Gadgets,Electronic City,433,16,13,34.17
SHP3043,Apparel,JP Nagar,379,2,5,19.09
SHP3044,Home Decor,BTM Layout,77,34,7,25.07
SHP3045,Home Decor,Electronic City,34,8,13,23.25
SHP3046,Gadgets,BTM Layout,192,13,14,97.58
SHP3047,Gadgets,Whitefield,368,8,4,78.34
SHP3048,Home Decor,Electronic City,455,30,7,97.1
SHP3049,Gadgets,Electronic City,199,32,13,49.58
SHP3050,Apparel,BTM Layout,160,36,1,35.05
SHP3051,Apparel,Electronic City,176,30,7,81.85
SHP3052,Home Decor,Electronic City,45,1,8,39.36
SHP3053,Electronics,Electronic City,67,39,5,36.94
SHP3054,Apparel,Whitefield,27,17,2,30.93
SHP3055,Gadgets,BTM Layout,364,20,5,21.67
SHP3056,Electronics,Electronic City,79,24,6,33.08
SHP3057,Electronics,JP Nagar,564,22,12,41.98
SHP3058,Apparel,JP Nagar,122,29,2,70.66
SHP3059,Apparel,JP Nagar,384,22,14,15.63
SHP3060,Electronics,JP Nagar,294,9,6,28.95
SHP3061,Electronics,Whitefield,444,37,6,82.81
SHP3062,Home Decor,Electronic City,11,10,1,23.22
SHP3063,Gadgets,BTM Layout,200,36,14,40.84
SHP3064,Home Decor,Electronic City,425,37,1,87.82
SHP3065,Apparel,Whitefield,572,28,14,23.94
SHP3066,Home Decor,JP Nagar,197,28,11,17.45
SHP3067,Home Decor,Whitefield,563,21,10,53.61
SHP3068,Home Decor,Electronic City,152,24,3,37.22
SHP3069,Home Decor,BTM Layout,206,2,14,60.71
SHP3070,Gadgets,Whitefield,448,8,10,82.34
SHP3071,Gadgets,BTM Layout,423,27,10,22.34
SHP3072,Electronics,Whitefield,431,22,12,62.26
SHP3073,Apparel,BTM Layout,483,37,3,55.5
SHP3074,Home Decor,BTM Layout,479,27,4,22.97
SHP3075,Electronics,JP Nagar,130,29,2,66.16
SHP3076,Electronics,BTM Layout,399,3,9,34.63
SHP3077,Electronics,JP Nagar,580,13,10,53.91
SHP3078,Gadgets,Electronic City,329,10,12,17.4
SHP3079,Home Decor,Electronic City,396,36,11,51.36
SHP3080,Home Decor,JP Nagar,444,9,14,37.58
SHP3081,Apparel,JP Nagar,208,27,7,84.01
SHP3082,Home Decor,Whitefield,490,34,7,15.13
SHP3083,Home Decor,Whitefield,35,1,6,47.67
SHP3084,Electronics,Whitefield,392,32,3,51.26
SHP3085,Apparel,Electronic City,438,25,6,75.25
SHP3086,Home Decor,Whitefield,380,29,14,61.69
SHP3087,Gadgets,BTM Layout,348,7,12,70.05
SHP3088,Home Decor,BTM Layout,447,3,8,79.93
SHP3089,Electronics,Whitefield,583,20,8,87.6
SHP3090,Gadgets,BTM Layout,79,20,11,38.25
SHP3091,Electronics,Electronic City,561,30,13,58.42
SHP3092,Home Decor,BTM Layout,159,35,9,85.61
SHP3093,Gadgets,Electronic City,434,35,1,99.05
SHP3094,Apparel,JP Nagar,367,39,14,90.06
SHP3095,Apparel,JP Nagar,452,27,1,43.43
SHP3096,Gadgets,JP Nagar,238,26,3,27.56
SHP3097,Gadgets,JP Nagar,567,14,3,54.05
SHP3098,Electronics,BTM Layout,266,17,10,76.75
SHP3099,Gadgets,Whitefield,129,18,8,54.33
SHP3100,Electronics,BTM Layout,249,29,10,53.49
SHP3101,Home Decor,Electronic City,546,20,1,85.44
SHP3102,Electronics,BTM Layout,489,27,13,42.53
SHP3103,Gadgets,BTM Layout,126,18,2,87.38
SHP3104,Gadgets,Electronic City,129,4,2,46.61
SHP3105,Home Decor,JP Nagar,553,1,3,39.54
SHP3106,Gadgets,JP Nagar,174,1,13,50.86
SHP3107,Gadgets,JP Nagar,128,26,6,78.62
SHP3108,Apparel,Whitefield,39,20,1,21.34
SHP3109,Apparel,Electronic City,91,23,2,27.68
SHP3110,Home Decor,Electronic City,205,10,13,95.63
SHP3111,Electronics,BTM Layout,373,11,13,25.79
SHP3112,Apparel,Whitefield,81,5,1,61.1
SHP3113,Electronics,JP Nagar,63,1,5,62.14
SHP3114,Gadgets,Whitefield,435,17,13,54.07
SHP3115,Apparel,Electronic City,504,22,13,68.03
SHP3116,Home Decor,Electronic City,113,34,7,30.68
SHP3117,Home Decor,BTM Layout,282,29,8,59.74
SHP3118,Home Decor,BTM Layout,72,4,10,43.5
SHP3119,Apparel,Electronic City,73,5,1,69.55
SHP3120,Electronics,JP Nagar,169,11,7,22.71
SHP3121,Gadgets,JP Nagar,493,21,13,61.38
SHP3122,Electronics,Whitefield,309,35,5,26.67
SHP3123,Electronics,Electronic City,369,12,10,35.08
SHP3124,Gadgets,Electronic City,383,26,1,29.68
SHP3125,Gadgets,JP Nagar,347,19,3,26.46
SHP3126,Apparel,JP Nagar,558,7,7,84.31
SHP3127,Apparel,Electronic City,358,7,10,35.71
SHP3128,Apparel,BTM Layout,420,26,1,93.44
SHP3129,Apparel,Electronic City,113,5,7,97.29
SHP3130,Apparel,Electronic City,567,21,5,61.41
SHP3131,Gadgets,JP Nagar,501,14,1,22.87
SHP3132,Electronics,JP Nagar,345,4,1,43.71
SHP3133,Apparel,BTM Layout,387,23,14,81.8
SHP3134,Apparel,BTM Layout,537,20,1,43.07
SHP3135,Electronics,Whitefield,304,15,11,17.83
SHP3136,Apparel,Electronic City,143,29,9,60.11
SHP3137,Electronics,JP Nagar,363,8,11,86.06
SHP3138,Electronics,BTM Layout,503,19,13,81.63
SHP3139,Gadgets,Whitefield,389,39,3,25.76
SHP3140,Home Decor,Whitefield,284,28,13,70.55
SHP3141,Gadgets,JP Nagar,487,27,5,29.85
SHP3142,Home Decor,JP Nagar,115,4,11,29.64
SHP3143,Home Decor,Whitefield,143,15,10,88.67
SHP3144,Home Decor,BTM Layout,439,35,12,32.47
SHP3145,Apparel,Whitefield,513,37,9,33.69
SHP3146,Gadgets,Electronic City,277,1,6,10.06
SHP3147,Home Decor,Electronic City,103,3,12,88.36
SHP3148,Electronics,JP Nagar,108,24,9,81.33
SHP3149,Apparel,BTM Layout,218,27,8,66.46
SHP3150,Gadgets,BTM Layout,169,36,8,77.52
SHP3151,Home Decor,Electronic City,524,34,1,23.68
SHP3152,Electronics,Whitefield,288,29,13,51.25
SHP3153,Gadgets,JP Nagar,521,24,9,41.61
SHP3154,Gadgets,Whitefield,168,24,6,18.44
SHP3155,Apparel,Whitefield,68,4,9,53.75
SHP3156,Gadgets,Whitefield,95,3,3,92.87
SHP3157,Apparel,BTM Layout,121,34,12,13.61
SHP3158,Home Decor,Electronic City,271,23,3,36.23
SHP3159,Apparel,BTM Layout,563,23,6,28.68
SHP3160,Electronics,Electronic City,144,5,9,31.43
SHP3161,Apparel,JP Nagar,250,31,7,91.76
SHP3162,Electronics,JP Nagar,399,6,14,52.13
SHP3163,Apparel,Whitefield,491,37,13,51.97
SHP3164,Gadgets,Electronic City,480,10,3,78.45
SHP3165,Home Decor,Electronic City,521,7,3,23.9
